accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,total_duration,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples
294.67551445961,0.0,19.140517473220825,1,0,19.140517473220825,0.5636456608772278,0.7183514833450317,0.0284550804638885,43793,313.81607389450073,0.5693638920783997,0.7166677117347717,0.0225156131813239,0.566946268081665,0.7168007493019104,0.0261541061725516,43793
410.4786365032196,0.0285573005676269,259.38515639305115,784,0,259.38515639305115,0.98302960395813,0.0673509985208511,0.0398170152009594,43793,669.91117811203,0.9867364764213562,0.0537683926522731,0.0394422851903018,0.9840367436408995,0.0640401914715766,0.0389896036801912,43793
524.6848311424255,0.0579357147216796,499.51279520988464,1569,0,499.51279520988464,0.983212411403656,0.0642148107290268,0.0652801938168278,43793,1024.2972824573517,0.9869202375411988,0.0504998080432415,0.0620151674338176,0.9842185974121094,0.0608874298632144,0.0664866053633787,43793
641.8630967140198,0.0860452651977539,739.4934566020966,2364,0,739.4934566020966,0.9835144281387328,0.0605360455811023,0.0948612460114271,43793,1381.5043685436249,0.9871264100074768,0.0475550219416618,0.1051253219245265,0.9845048189163208,0.0571218021214008,0.0956647011364873,43793
759.8761308193207,0.1119747161865234,979.6541843414308,3164,0,979.6541843414308,0.9840034246444702,0.0560781359672546,0.1347402842878854,43793,1739.7244699001312,0.9878024458885192,0.0436401441693306,0.1301238231083578,0.9849801659584044,0.0529658570885658,0.1342331368381286,43793
876.1591114997864,0.13838791847229,1219.8746342658997,3965,0,1219.8746342658997,0.9843454360961914,0.0538149513304233,0.1534617638383832,43793,2096.2743821144104,0.9881826043128968,0.041318155825138,0.1744131476367169,0.985315442085266,0.0508397333323955,0.1618505253433002,43793
994.849817752838,0.1665456295013427,1459.9918675422668,4777,0,1459.9918675422668,0.9846609234809875,0.0528364479541778,0.1777427551036022,43793,2455.131016731262,0.98837012052536,0.0402914248406887,0.2007542553266108,0.985531449317932,0.0499888099730014,0.1831383788755437,43793
1113.539880514145,0.1926186084747314,1700.1923978328705,5587,0,1700.1923978328705,0.984699249267578,0.0521193034946918,0.195391130551246,43793,2814.067674636841,0.9884465932846068,0.0396913141012191,0.221770698143332,0.98561829328537,0.0493455454707145,0.1869321901309273,43793
1233.8176052570343,0.2187631130218505,1940.2245869636536,6398,0,1940.2245869636536,0.9849115014076232,0.0506033226847648,0.2019027738496485,43793,3174.423397541046,0.9889736771583556,0.0381232015788555,0.2349179301416333,0.9858220815658568,0.0480462722480297,0.1984774781926117,43793
1351.5040628910065,0.2468328475952148,2180.274940252304,7210,0,2180.274940252304,0.9849966168403624,0.0506063364446163,0.2135013949120733,43793,3532.208178520202,0.9890118837356568,0.0376699566841125,0.2398642775243317,0.9859276413917542,0.0479281842708587,0.2053059024384642,43793
1467.7618923187256,0.2729909420013428,2420.438141107559,8015,0,2420.438141107559,0.9851566553115844,0.0501267984509468,0.2101401705609189,43793,3888.6747868061066,0.9890701174736024,0.0372366234660148,0.2631184769300236,0.9860911965370178,0.0473577566444873,0.2088996544773056,43793
1586.0149447917938,0.3037986755371094,2660.6300616264343,8828,0,2660.6300616264343,0.9852033853530884,0.0499091744422912,0.2143331856348795,43793,4247.170699596405,0.9891208410263062,0.0369138866662979,0.2612853983143308,0.9860575199127196,0.047108169645071,0.2148633769300631,43793
1703.180927276611,0.3312511444091797,2900.606130599976,9646,0,2900.606130599976,0.9852674007415771,0.0497493296861648,0.2163315740238195,43793,4604.35955286026,0.9893123507499696,0.0364863313734531,0.2645382724796011,0.986155331134796,0.0469783805310726,0.2157253602313035,43793
1821.514145851136,0.3597078323364258,3140.7301058769226,10455,0,3140.7301058769226,0.985323429107666,0.0495379045605659,0.220419077543656,43793,4962.864740371704,0.9894191026687622,0.0360940061509609,0.2865384206324179,0.9862256050109864,0.0468455404043197,0.2235691760466814,43793
1939.126511335373,0.3882114887237549,3380.84489774704,11266,0,3380.84489774704,0.9854127168655396,0.0488682799041271,0.2268760864680321,43793,5320.640565872192,0.9895251989364624,0.0355232283473014,0.2967167923105972,0.986258864402771,0.0461835637688636,0.2317629009444825,43793
2058.625925064087,0.4152729511260986,3620.80961561203,12082,0,3620.80961561203,0.9854207038879396,0.0487910211086273,0.2265492047792748,43793,5680.152049779892,0.9895297288894652,0.0355376303195953,0.2909570340964091,0.9862949848175048,0.0460712350904941,0.227226392959071,43793
2174.2098026275635,0.442767858505249,3861.03609418869,12882,0,3861.03609418869,0.9853373169898988,0.0489800199866294,0.2260544465997763,43793,6036.009812831879,0.989425241947174,0.035470888018608,0.3050775358934861,0.9861180186271667,0.0464729368686676,0.2247950829473661,43793
2292.0521154403687,0.4708812236785888,4100.995650053024,13686,0,4100.995650053024,0.9854274988174438,0.0489435046911239,0.2297760841694957,43793,6393.8599808216095,0.9895843863487244,0.035197339951992,0.3040051887718651,0.986271858215332,0.0461859516799449,0.2334047522276733,43793
2411.727029323578,0.4989173412322998,4341.20063662529,14490,0,4341.20063662529,0.98543381690979,0.0487638674676418,0.2282855647492955,43793,6753.788158655167,0.9896256923675536,0.0350975841283798,0.3124564578184099,0.9863173365592957,0.0460097678005695,0.2357678184016811,43793
